REWARDS COMPUTED TO BLOCK: 18010891
address, credit_account_miner, early_community_member, early_liquidity_provider, early_credit_account_user, cider_participants, early_gear_lps, pool ddai, pool dusdc, pool dweth, pool dwbtc, pool dwsteth, pool dfrax, cm dai, cm usdc, cm weth, cm wbtc, cm wsteth, cm frax, total, claimed, to pay
0xb9df1ac065aba19fb4a23328784665b9b19dee31, 100000, 0, 200, 0, 0, 0, 0, 0, 714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100914, 100000, 914
0xad192a9eaee1e342cabb1cd32f01de3b77d8598f, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xa18e9f2f9df9acb358579662be21a5ef3e9e3b1c, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xd63a8b9699fbe0b0b70c443cda57cd667a77d1b2, 100000, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200000, 200000, 0
0x5e5a02de0daa2d69d2679bc56adab1f9ba03af29, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x2993e1d02b11377f44455aedc618c705acbb0591, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x9319ddcd58c8e9657a9bc039c5f5c184fb9c814e, 100000, 0, 0, 0, 0, 0, 0, 0, 31474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131474, 130413, 1061
0xd507833ac6de16774333076e748d4f886ae5b617, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xfe767cc71b60ba0165d948b0fce096ae050b9224, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0xfce0413bad4e59f55946669e678eccfe87777777, 100000, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200000, 200000, 0
0x78ebe56bc138069557c89af35eb29023ff31ae2c, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0xa99c4f924a167cdec1486aa9920de70a48455ab2, 100000, 130000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230000, 230000, 0
0x869cf77f0c9fcaabbea2f6d4626cb970a109c42f, 100000, 0, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100571, 100000, 571
0x8fbb1fd679216d9d85af33306ef98b5f376ac8cc, 100000, 0, 17783, 5935, 0, 0, 0, 4073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127791, 126736, 1055
0xcbe203901e2f3ca910558efba39a48af89e3c558, 100000, 0, 55719, 79560, 97591, 15888, 0, 29856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378614, 249984, 128630
0x4ca5df3952382174d7d421bd7ae8fa03c65774cb, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x8ec2bda7f5481057ccb0b741858e1e116b93626d, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x896b94f4f27f12369698c302e2049cae86936bbb, 100000, 0, 8530, 3554, 0, 0, 0, 0, 6495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118579, 100000, 18579
0xdcf5ac110bfb16933b6f50b5e5f8e38c98d39481, 100000, 0, 0, 0, 5749, 997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106746, 105749, 997
0xca9ba74ee20917211ef646ac51accc287f27538b, 100000, 0, 34640, 0, 1991, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136857, 134640, 2217
0x33cb0c602d9d2965c5538731bab28f122988f74e, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0xa186727fdaf90cd7d9972572e32c618ce04206f8, 100000, 20000, 0, 7792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127792, 100000, 27792
0xce76da4871063e42d8b7320b9a65dd1181c14b12, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0x7494eb2916cad8649f4f91eb1db6e20be605dad6, 100000, 20000, 114396, 0, 0, 0, 0, 5580, 22, 0, 6814, 0, 0, 0, 0, 0, 0, 0, 246812, 246812, 0
0x7fbbb888e591f40484f0b383f03c8433be78cac8, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xf9107317b0ff77ed5b7adea15e50514a3564002b, 100000, 50000, 5357, 0, 1149, 4353, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160940, 160940, 0
0x78525bde42cf233e756b9372540743af62d1da68, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x1b17b3388523ef0888d6c0630b535e0d2429f290, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xf69ea6646cf682262e84cd7c67133eac59cef07b, 100000, 0, 0, 11134, 51364, 28068, 0, 220, 0, 0, 0, 0, 0, 0, 7742, 0, 0, 0, 198528, 198308, 220
0xe6d270680431b674cadd4e6c13bd56fdbfd6fbad, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xe33576bf4882e0d2bbb2a2992b2905c9569fd30c, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xfe97b38192cb30add0bbe5e01e6a617562cc8318, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x4cd6b970f42b41ee58c2e4b7ab99863d5ae52a23, 100000, 0, 0, 0, 20485, 1914, 0, 0, 777330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 899729, 899721, 8
0x53ffa1fc6ef26b7ea45bc9a20b9aeb40ff5f1b02, 100000, 0, 0, 0, 5749, 4028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109777, 100000, 9777
